,DISTRCT_CD,DISTRCT_NAME,YR,FDR_MECO,NO_CUSTS_SVD
336,1,Central,2004,05_01_207W3,981.1666666666666
337,1,Central,2004,05_01_207W4,1147.75
338,1,Central,2004,05_01_207W6,2367.0
339,1,Central,2004,05_01_208H2,0.0
340,1,Central,2004,05_01_210L1,2491.8333333333335
341,1,Central,2004,05_01_213H1,0.0
342,1,Central,2004,05_01_215H1,0.0
343,1,Central,2004,05_01_215H2,0.0
344,1,Central,2004,05_01_216W1,1954.4166666666667
345,1,Central,2004,05_01_216W2,971.1666666666666
346,1,Central,2004,05_01_216W3,1618.4166666666667
347,1,Central,2004,05_01_216W4,1102.75
348,1,Central,2004,05_01_216W5,1924.9166666666667
349,1,Central,2004,05_01_216W99,0.0
350,1,Central,2004,05_01_219W1,236.66666666666666
351,1,Central,2004,05_01_219W2,1512.9166666666667
352,1,Central,2004,05_01_219W3,457.0
353,1,Central,2004,05_01_219W4,910.8333333333334
354,1,Central,2004,05_01_219W5,1454.0833333333333
355,1,Central,2004,05_01_219W6,1330.8333333333333
356,1,Central,2004,05_01_21W1,2367.5833333333335
357,1,Central,2004,05_01_21W2,2193.5833333333335
358,1,Central,2004,05_01_21W99,0.0
359,1,Central,2004,05_01_2208,0.75
360,1,Central,2004,05_01_225W1,2056.5
361,1,Central,2004,05_01_225W2,1.75
362,1,Central,2004,05_01_225W3,1496.5
363,1,Central,2004,05_01_225W4,403.3333333333333
364,1,Central,2004,05_01_226L1,3310.5833333333335
365,1,Central,2004,05_01_226T42,0.3333333333333333
366,1,Central,2004,05_01_227W1,1602.0
367,1,Central,2004,05_01_227W3,1727.1666666666667
368,1,Central,2004,05_01_23W1,137.91666666666666
369,1,Central,2004,05_01_23W2,2504.4166666666665
370,1,Central,2004,05_01_23W3,1053.8333333333333
371,1,Central,2004,05_01_24W1,793.4166666666666
372,1,Central,2004,05_01_24W2,1488.5833333333333
373,1,Central,2004,05_01_24W3,2043.0
374,1,Central,2004,05_01_24W4,172.25
375,1,Central,2004,05_01_24W5,1590.3333333333333
376,1,Central,2004,05_01_26L99,0.0
377,1,Central,2004,05_01_26W1,1065.75
378,1,Central,2004,05_01_26W2,1842.1666666666667
379,1,Central,2004,05_01_26W3,985.5833333333334
380,1,Central,2004,05_01_26W4,252.08333333333334
381,1,Central,2004,05_01_27W1,2810.5833333333335
382,1,Central,2004,05_01_27W2,559.1666666666666
383,1,Central,2004,05_01_27W3,1.3333333333333333
384,1,Central,2004,05_01_27W4,295.3333333333333
385,1,Central,2004,05_01_27W5,2527.9166666666665
386,1,Central,2004,05_01_2J328,424.5
387,1,Central,2004,05_01_2J335,840.75
388,1,Central,2004,05_01_2J345,1082.8333333333333
389,1,Central,2004,05_01_2J349,719.5
390,1,Central,2004,05_01_2J353,214.0
391,1,Central,2004,05_01_304W1,1737.8333333333333
392,1,Central,2004,05_01_304W2,3668.8333333333335
393,1,Central,2004,05_01_304W3,1652.4166666666667
394,1,Central,2004,05_01_304W4,2397.75
395,1,Central,2004,05_01_304W5,3161.0
396,1,Central,2004,05_01_304W6,2431.0833333333335
397,1,Central,2004,05_01_304W99,0.0
398,1,Central,2004,05_01_320W20,437.0
399,1,Central,2004,05_01_320W30,79.0
400,1,Central,2004,05_01_321W50,13.0
401,1,Central,2004,05_01_321W60,32.0
402,1,Central,2004,05_01_325J2,0.0
403,1,Central,2004,05_01_325J3,0.0
404,1,Central,2004,05_01_326J1,0.0
405,1,Central,2004,05_01_328J1,0.0
406,1,Central,2004,05_01_328J2,32.25
407,1,Central,2004,05_01_335W30,0.7142857142857143
408,1,Central,2004,05_01_34,0.0
409,1,Central,2004,05_01_35,0.0
410,1,Central,2004,05_01_3J341,779.75
411,1,Central,2004,05_01_3J371,715.6666666666666
412,1,Central,2004,05_01_3J372,653.0
413,1,Central,2004,05_01_3J373,1450.1666666666667
414,1,Central,2004,05_01_3J374,1180.25
415,1,Central,2004,05_01_3J375,671.1666666666666
416,1,Central,2004,05_01_401H7,0.0
417,1,Central,2004,05_01_401H8,0.0
418,1,Central,2004,05_01_401L99,0.0
419,1,Central,2004,05_01_405M1,0.0
420,1,Central,2004,05_01_405M2,0.0
421,1,Central,2004,05_01_406L1,1592.25
422,1,Central,2004,05_01_406L2,2086.6666666666665
423,1,Central,2004,05_01_406L3,2918.3333333333335
424,1,Central,2004,05_01_406L4,1372.0833333333333
425,1,Central,2004,05_01_408L1,1333.9166666666667
426,1,Central,2004,05_01_408L2,867.25
427,1,Central,2004,05_01_412L1,1464.25
428,1,Central,2004,05_01_412L2,2389.5833333333335
429,1,Central,2004,05_01_412L3,1367.3333333333333
430,1,Central,2004,05_01_412L4,2679.0
431,1,Central,2004,05_01_412L5,3810.0
432,1,Central,2004,05_01_412L6,2154.25
433,1,Central,2004,05_01_413L1,3276.1666666666665
434,1,Central,2004,05_01_413L11,0.0
435,1,Central,2004,05_01_413L2,1753.0
436,1,Central,2004,05_01_413L3,2684.0833333333335
437,1,Central,2004,05_01_414L1,0.0
438,1,Central,2004,05_01_415L1,2753.75
439,1,Central,2004,05_01_415L2,2054.1666666666665
440,1,Central,2004,05_01_415L3,1274.5
441,1,Central,2004,05_01_435T123,0.0
442,1,Central,2004,05_01_4J324,681.4166666666666
